Age,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Employee_Number,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Current_Manager,Role_Department,Remote_Work
51,No,Unknown,684.0,Unknown,6.0,3,Unknown,162.0,1,Male,51.0,3,5,Research Director,3,Unknown,19537.0,6462,7,No,13,3.0,3,0,11.22970081760611,5,3.0,20,15,15,Unknown,True
52,No,Unknown,699.0,Unknown,1.0,4,Life Sciences,259.0,3,Male,65.0,2,5,Manager,3,Unknown,19999.0,5678,0,Unknown,14,3.0,1,1,34.0,5,3.0,33,11,9,Unknown,True
42,No,Travel Rarely,532.0, Research & Development ,4.0,2,Technical Degree,319.0,3,Male,58.0,3,5,Manager,4,Married,19232.0,4933,1,No,11,3.0,4,0,22.0,3,3.0,22,11,15,Manager - Research & Development,True
47,No,Travel Rarely,359.0,Unknown,2.0,4,Medical,0.01,1,Female,82.0,3,4,Research Director,3,Married,17169.0,26703,3,Unknown,19,3.0,2,2,11.00570830865077,2,3.0,20,5,6,Unknown,False
46,No,Unknown,1319.0,Unknown,3.0,3,Technical Degree,0.01,1,Female,45.0,4,4,Sales Executive,1,Divorced,6477.686121919585,7739,2,No,12,3.0,4,1,11.675268357675316,5,3.0,19,2,8,Unknown,False
48,No,Unknown,117.0, Research & Development ,22.0,3,Medical,1900.0,4,Female,58.0,3,4,Manager,4,Unknown,17174.0,2437,3,No,11,3.0,2,1,10.83193732279573,3,3.0,22,4,7,Manager - Research & Development,True
59,No,Unknown,1435.0,Unknown,25.0,3,Life Sciences,81.0,1,Female,99.0,3,3,Sales Executive,1,Unknown,6477.686121919585,2354,7,Unknown,11,3.0,4,0,28.0,3,2.0,21,7,9,Unknown,True
42,No,Travel Rarely,635.0,Unknown,1.0,1,Unknown,387.0,2,Male,99.0,3,2,Sales Executive,3,Married,6477.686121919585,24532,1,No,25,4.0,3,0,20.0,3,3.0,20,11,6,Unknown,False
41,No,Unknown,1276.0,Unknown,2.0,5,Unknown,0.01,2,Female,91.0,3,4,Manager,1,Married,16595.0,5626,7,No,16,3.0,2,1,22.0,2,3.0,18,11,8,Unknown,True
41,No,Travel Frequently,840.0,Unknown,9.0,3,Unknown,999.0,1,Male,64.0,3,5,Research Director,3,Unknown,6477.686121919585,3735,2,No,17,3.0,2,1,21.0,2,4.0,18,0,11,Unknown,False
41,No,Non Travel,247.0,Unknown,7.0,1,Unknown,1035.0,2,Female,55.0,1,5,Research Director,3,Unknown,19973.0,20284,1,No,22,4.0,2,2,10.923059282123235,3,3.0,21,5,10,Unknown,False
56,No,Travel Rarely,1369.0,Unknown,23.0,3,Life Sciences,0.01,4,Male,68.0,3,4,Manufacturing Director,2,Married,13402.0,18235,4,Yes,12,3.0,1,1,33.0,0,3.0,19,15,9,Unknown,False
38,No,Unknown,201.0,Unknown,10.0,3,Medical,0.01,2,Female,99.0,1,3,Research Director,3,Married,13206.0,3376,3,No,12,3.0,1,1,10.896981000321254,3,3.0,18,1,11,Unknown,True
41,Yes,Travel Rarely,1360.0,Unknown,12.0,3,Unknown,58.0,2,Female,49.0,3,5,Research Director,3,Married,19545.0,16280,1,No,12,3.0,4,0,11.704564469699477,0,3.0,22,15,8,Unknown,False
55,No,Unknown,692.0,Unknown,14.0,4,Medical,0.01,3,Male,61.0,4,5,Research Director,2,Single,6477.686121919585,13339,8,No,11,3.0,4,0,11.236667393696463,3,3.0,24,2,15,Unknown,True
40,No,Travel Rarely,1398.0,Unknown,2.0,4,Unknown,558.0,3,Female,79.0,3,5,Manager,3,Unknown,18041.0,13022,0,No,14,3.0,4,0,11.735676361876303,2,3.0,20,1,12,Unknown,False
58,Yes,Travel Rarely,286.0,Unknown,2.0,4,Unknown,825.0,4,Male,31.0,3,5,Research Director,2,Single,19246.0,25761,7,Yes,12,3.0,4,0,40.0,2,3.0,31,13,8,Unknown,False
46,No,Travel Rarely,1402.0,Unknown,2.0,3,Unknown,0.01,3,Female,69.0,3,4,Manager,1,Unknown,6477.686121919585,24097,8,Unknown,23,4.0,1,0,28.0,2,3.0,26,15,9,Unknown,False
35,No,Unknown,819.0,Unknown,8.886386848852903,5,Life Sciences,0.01,2,Male,48.0,4,2,Research Scientist,1,Married,6477.686121919585,26312,1,Unknown,11,3.0,4,0,11.324142806959214,2,3.0,16,1,10,Unknown,False
40,No,Travel Rarely,884.0,Unknown,15.0,3,Life Sciences,0.01,1,Female,80.0,2,3,Manufacturing Director,3,Unknown,6477.686121919585,25800,1,Unknown,13,3.0,4,2,18.0,2,3.0,18,14,12,Unknown,True
45,No,Non Travel,1238.0, Research & Development ,1.0,1,Unknown,1712.0,3,Male,74.0,2,3,Healthcare Representative,3,Unknown,10748.0,3395,3,Unknown,23,4.0,4,1,25.0,3,2.0,23,14,4,Healthcare Representative - Research & Development,False
33,No,Unknown,515.0,Unknown,1.0,2,Life Sciences,73.0,1,Female,98.0,3,3,Research Director,4,Single,6477.686121919585,15146,1,Yes,12,3.0,3,0,15.0,1,3.0,15,8,12,Unknown,True
36,No,Unknown,1223.0,Unknown,8.0,3,Unknown,0.01,3,Female,59.0,3,3,Healthcare Representative,3,Divorced,6477.686121919585,8202,1,Unknown,13,3.0,2,3,17.0,2,3.0,17,12,8,Unknown,True
47,No,Unknown,202.0,Unknown,2.0,2,Other,820.0,3,Female,33.0,3,4,Manager,4,Married,16752.0,12982,1,Unknown,11,3.0,3,1,10.888333863459664,3,2.0,26,3,0,Unknown,False
36,No,Travel Rarely,928.0,Unknown,8.880691588730123,2,Life Sciences,0.01,4,Male,56.0,3,2,Sales Executive,4,Unknown,6201.0,2823,1,Unknown,14,3.0,4,1,18.0,1,3.0,18,4,11,Unknown,True
35,No,Unknown,607.0,Unknown,9.0,3,Life Sciences,0.01,4,Female,66.0,2,3,Manufacturing Director,3,Married,6477.686121919585,23457,1,Yes,20,4.0,2,1,17.0,2,3.0,17,5,15,Unknown,False
52,Yes,Unknown,266.0,Unknown,2.0,1,Unknown,0.01,1,Female,57.0,1,5,Manager,4,Married,19845.0,25846,1,No,15,3.0,4,1,33.0,3,3.0,32,6,9,Unknown,True
36,No,Unknown,429.0,Unknown,2.0,4,Life Sciences,1294.0,3,Female,53.0,3,2,Manufacturing Director,2,Single,6477.686121919585,2323,9,Yes,11,3.0,4,0,18.0,2,3.0,16,5,12,Unknown,False
33,No,Travel Rarely,589.0,Unknown,28.0,4,Life Sciences,0.01,2,Male,79.0,3,2,Laboratory Technician,3,Married,6477.686121919585,22949,1,Unknown,12,3.0,2,1,15.0,3,3.0,15,5,7,Unknown,True
34,No,Non Travel,802.3610011913048, Sales ,10.0,3,Life Sciences,1774.0,4,Male,87.0,3,2,Sales Executive,3,Unknown,4001.0,12313,1,Yes,14,3.0,3,1,15.0,3,3.0,15,0,7,Sales Executive - Sales,True
41,No,Unknown,802.2689904014039, Sales ,8.896001363353271,1,Unknown,1815.0,3,Female,81.0,3,3,Sales Executive,3,Divorced,10447.0,26458,0,Unknown,13,3.0,4,1,11.31709976337445,3,4.0,22,13,5,Sales Executive - Sales,True
47,No,Unknown,1180.0, Research & Development ,25.0,3,Medical,1993.0,1,Male,84.0,3,3,Healthcare Representative,3,Unknown,6477.686121919585,13084,2,Unknown,23,4.0,2,0,25.0,3,3.0,17,12,11,Healthcare Representative - Research & Development,True
53,No,Travel Rarely,1282.0,Unknown,5.0,3,Unknown,32.0,3,Female,58.0,3,5,Manager,3,Unknown,6477.686121919585,10735,4,Unknown,11,3.0,4,1,26.0,3,2.0,14,4,8,Unknown,True
35,No,Unknown,776.0,Unknown,1.0,4,Marketing,100.0,3,Male,32.0,2,2,Sales Executive,1,Single,6477.686121919585,23016,0,No,14,3.0,2,0,16.0,2,3.0,15,2,8,Unknown,False
34,No,Travel Rarely,665.0,Unknown,6.0,4,Other,0.01,1,Female,41.0,3,2,Research Scientist,3,Single,6477.686121919585,12482,1,Unknown,14,3.0,3,0,16.0,3,3.0,16,2,10,Unknown,True
46,No,Travel Rarely,526.0,Unknown,1.0,2,Unknown,244.0,2,Female,92.0,3,3,Sales Executive,1,Divorced,6477.686121919585,2137,1,No,25,4.0,3,3,24.0,2,3.0,24,15,7,Unknown,True
43,No,Unknown,1034.0,Unknown,16.0,3,Unknown,327.0,4,Female,80.0,3,4,Manager,4,Married,16064.0,7744,5,Unknown,22,4.0,3,1,22.0,3,3.0,17,1,9,Unknown,True
36,No,Unknown,1403.0, Research & Development ,6.0,3,Life Sciences,373.0,4,Male,47.0,3,1,Laboratory Technician,4,Married,3210.0,20251,0,Unknown,11,3.0,3,1,16.0,4,3.0,15,10,11,Laboratory Technician - Research & Development,True
60,No,Travel Frequently,1499.0,Unknown,28.0,3,Unknown,0.01,3,Female,80.0,2,3,Sales Executive,1,Married,10266.0,2845,4,No,19,3.0,4,0,22.0,5,4.0,18,13,11,Unknown,True
40,No,Travel Frequently,580.0,Unknown,5.0,4,Unknown,729.0,4,Male,48.0,2,3,Sales Executive,1,Married,10475.0,23772,5,Yes,21,4.0,3,1,20.0,2,3.0,18,1,12,Unknown,False
32,No,Travel Rarely,859.0,Unknown,4.0,3,Unknown,830.0,3,Female,98.0,2,2,Manufacturing Director,3,Married,6162.0,19124,1,No,12,3.0,3,1,14.0,3,3.0,14,6,8,Unknown,False
41,No,Travel Rarely,263.0,Unknown,8.928380475286382,3,Unknown,0.01,3,Male,59.0,3,1,Laboratory Technician,1,Single,4721.0,3119,2,Yes,13,3.0,3,0,20.0,3,3.0,18,2,17,Unknown,True
53,No,Unknown,1376.0,Unknown,2.0,2,Medical,981.0,3,Male,66.54693418143385,3,4,Manager,3,Divorced,6477.686121919585,13938,6,No,13,3.0,3,1,22.0,3,4.0,17,15,2,Unknown,False
36,Yes,Travel Rarely,885.0,Unknown,16.0,4,Unknown,1042.0,3,Female,43.0,4,1,Laboratory Technician,1,Single,6477.686121919585,8269,1,Unknown,16,3.0,3,0,18.0,1,3.0,17,15,14,Unknown,True
46,No,Unknown,1003.0,Unknown,8.0,4,Life Sciences,1080.0,4,Female,74.0,2,2,Research Scientist,1,Divorced,4615.0,21029,8,Yes,23,4.0,1,3,11.457218641695073,2,3.0,16,1,7,Unknown,False
38,No,Travel Rarely,1321.0,Unknown,1.0,4,Unknown,1995.0,4,Male,86.0,3,2,Sales Executive,2,Married,6477.686121919585,7636,0,No,15,3.0,1,2,16.0,3,3.0,15,5,8,Unknown,True
51,No,Unknown,801.713352562038,Unknown,1.0,4,Unknown,145.0,1,Female,30.0,2,3,Healthcare Representative,1,Single,6477.686121919585,25796,3,Unknown,20,4.0,3,0,23.0,1,2.0,13,12,8,Unknown,True
43,No,Unknown,394.0,Unknown,26.0,2,Unknown,158.0,3,Male,92.0,3,4,Manager,4,Married,16959.0,19494,1,Yes,12,3.0,4,2,25.0,3,4.0,25,4,12,Unknown,True
